,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_learning_rate,params_momentum,params_n_channels,params_optimizer,params_weight_decay,system_attrs_fixed_params,state
0,0,0.012218612246215343,2021-06-21 20:00:36.591445,2021-06-21 20:19:37.533257,0 days 00:19:00.941812000,14,0.001,0.9,8,Adam,1e-05,"{'encoded_space_dim': 14, 'n_channels': 8, 'optimizer': 'Adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'momentum': 0.9}",COMPLETE
1,1,0.09576074033975601,2021-06-21 20:19:37.533257,2021-06-21 20:37:00.808551,0 days 00:17:23.275294000,43,0.0017407323656967258,0.669163755081157,7,sgd,5.368003743751201e-05,,COMPLETE
2,2,0.057805135846138,2021-06-21 20:37:00.808551,2021-06-21 20:58:49.061074,0 days 00:21:48.252523000,2,2.585270984759162e-05,0.9719020726785993,10,Adam,2.9539525736858593e-06,,COMPLETE
3,3,0.03722228854894638,2021-06-21 20:58:49.061074,2021-06-21 21:16:10.260491,0 days 00:17:21.199417000,82,5.1009193915643396e-05,0.9265618529102064,7,Adam,1.941293120358157e-05,,COMPLETE
4,4,0.095316082239151,2021-06-21 21:16:10.260491,2021-06-21 21:33:07.610340,0 days 00:16:57.349849000,50,0.004695038558994688,0.7635093452707145,7,sgd,2.4928334076664987e-06,,COMPLETE
5,5,0.20788344740867615,2021-06-21 21:33:07.612370,2021-06-21 21:33:07.925175,0 days 00:00:00.312805000,75,7.389135459851097e-05,0.8995412914130729,7,sgd,1.7430191841207511e-06,,PRUNED
6,6,0.2620982527732849,2021-06-21 21:33:07.925175,2021-06-21 21:33:08.238052,0 days 00:00:00.312877000,35,0.00364348837874998,0.6502969686608193,8,Adam,1.8879399786114038e-05,,PRUNED
7,7,0.21190562844276428,2021-06-21 21:33:08.238052,2021-06-21 21:33:08.561135,0 days 00:00:00.323083000,29,0.00010958887549940666,0.9226428712880579,10,sgd,1.0736643449402325e-05,,PRUNED
8,8,0.21859462559223175,2021-06-21 21:33:08.561135,2021-06-21 21:33:08.851504,0 days 00:00:00.290369000,76,0.0031882007467157083,0.9479723222846188,4,Adam,7.37489140232408e-05,,PRUNED
9,9,0.19614143669605255,2021-06-21 21:33:08.851504,2021-06-21 21:33:09.115960,0 days 00:00:00.264456000,76,0.0009948560360630602,0.7185705500950337,4,Adam,3.921309435525674e-05,,PRUNED
10,10,0.2507144808769226,2021-06-21 21:33:09.115960,2021-06-21 21:33:09.479069,0 days 00:00:00.363109000,3,0.0004490972578459012,0.8412305940898887,9,Adam,5.393307222805318e-06,,PRUNED
11,11,0.20735743641853333,2021-06-21 21:33:09.479069,2021-06-21 21:33:09.792009,0 days 00:00:00.312940000,91,1.4855114180997454e-05,0.8490389786531739,5,Adam,1.8435868947237124e-05,,PRUNED
12,12,0.014240063726902008,2021-06-21 21:33:09.792009,2021-06-21 21:50:33.656963,0 days 00:17:23.864954000,100,0.00032081090750774786,0.9962987898371164,6,Adam,7.938544942637365e-06,,COMPLETE
13,13,0.29943612217903137,2021-06-21 21:50:33.656963,2021-06-21 21:50:33.854373,0 days 00:00:00.197410000,19,0.0003892027701095984,0.9934082693174907,5,Adam,6.1429266520945e-06,,PRUNED
